publication,year,citation,global_political_economy,comparative_autocratization,public_opinion,political_communication
JOP2014,2014,"Krieckhaus et al. (2014) ""Economic Inequality and Democratic Support"" Journal of Politics",No,No,Yes,No
JPR2015,2015,"Peksen and Son (2015) ""Economic Coercion and Currency Crises in Target Countries"" Journal of Peace Research",Yes,No,No,No
IPSR2016,2016,"Son (2016b) ""Policy Choices in Tough Times"" International Political Science Review",Yes,No,No,No
JEAS2016a,2016,"Son (2016a) ""Are the Poor the Weak Link?"" Journal of East Asian Studies",No,No,Yes,No
JIRD2018,2018,"Son and Krieckhaus (2018) ""Latin American Democratisation and Currency Crises"" Journal of International Relations and Development",Yes,No,No,No
PacRev2018,2018,"Son (2018) ""The Mysterious Overvaluation of KRW in the 1990s"" Pacific Review",Yes,No,No,No
FPA2019,2019,"Son (2019) ""Democracy and Reserves"" Foreign Policy Analysis",Yes,No,No,No
PS2019,2019,"Bellinger and Son (2019) ""Political Parties and Foreign Direct Investment Inflows"" Political Studies",Yes,No,No,No
JEAS2020b,2020,"Son (2020b) ""Interpersonal Trust and Confidence in Labor Unions"" Journal of East Asian Studies",No,No,Yes,No
JJPS2020a,2020,"Son (2020a) ""Doi Moi and Vietnamese Threat Perception of Chinese Economic Growth"" Japanese Journal of Political Science",No,No,Yes,No
AS2021,2021,"Son (2021) ""Presidential Approval Ratings and the Foreign Exchange Market"" Asian Survey",Yes,Yes,No,No
PF2021,2021,"Son and Moon (2021) ""Security Threats and Investment"" Pacific Focus",Yes,No,No,No
JDS2022,2022,"Son and Bellinger (2022) ""The Health Cost of Autocratization"" Journal of Development Studies",No,Yes,No,No
Dem2024a,2024,"Son (2024a) ""Consequences of Democratic Backsliding in Popular Culture: Blacklist in South Korea"" Democratization",No,Yes,No,No
IJPOR2024,2024,"Bellinger Krieckhaus and Son (2024) ""The Political Economy of Life Satisfaction"" International Journal of Public Opinion Research",No,No,Yes,No
JCE2024c,2024,"Son (2024c) ""Foreign Pop-Culture and Backlash"" Journal of Cultural Economics",No,No,No,Yes
PacRev2024b,2024,"Son (2024b) ""Foreign Policy Consequences of Democratic Backsliding: Comfort Women Agreement"" Pacific Review",No,Yes,No,No
EJPR2025b_underreview,2025,"Son (2025b) ""Income Levels and Institutional Confidence"" (under review at European Journal of Political Research)",Yes,No,Yes,No
GO2025_underreview,2025,"Bellinger and Son (2025) ""Fiscal Policy Regimes in Asia Across Two Crises"" (under review at Government and Opposition)",Yes,No,Yes,No
II2025a_underreview,2025,"Son (2025a) ""Democratic Backsliding and Financial Data Transparency"" (under review at International Interactions)",Yes,No,No,No
JMS2025,2025,"Kim and Son (2025) ""K-Pop Fan Perceptions and Negotiation of Alternative Forms of Masculinities"" Journal of Men's Studies",No,No,No,Yes
JYS2025_underreview,2025,"Son and Kim (2025) ""Fandom and Political Participation: K-pop Fans"" (under review at Journal of Youth Studies)",No,No,Yes,Yes
NatlPetition2025_underreview,2025,"Son and Lee (2025) ""Petition the Emotion: South Korea's National Petition"" (under review; target journal not specified)",No,No,Yes,Yes
